id,starting_pos,player_a,player_b,time_a,time_b,result
2541,5320,Whisper,Ascendant,60000,60000,-1
2542,4795,Ascendant,Whisper,60000,60000,-1
2543,5324,Whisper,Ascendant,60000,60000,1
2544,4799,Ascendant,Whisper,60000,60000,-1
2545,5345,Whisper,Ascendant,60000,60000,1
2546,4820,Ascendant,Whisper,60000,60000,1
2547,5349,Whisper,Ascendant,60000,60000,1
2548,4824,Ascendant,Whisper,60000,60000,1
2549,5420,Whisper,Ascendant,60000,60000,1
2550,4845,Ascendant,Whisper,60000,60000,1
2551,5424,Whisper,Ascendant,60000,60000,-1
2552,4849,Ascendant,Whisper,60000,60000,1
2553,5445,Whisper,Ascendant,60000,60000,1
2554,5106,Ascendant,Whisper,60000,60000,1
2555,5449,Whisper,Ascendant,60000,60000,1
2556,5107,Ascendant,Whisper,60000,60000,1
2557,5470,Whisper,Ascendant,60000,60000,-1
2558,5111,Ascendant,Whisper,60000,60000,1
2559,5474,Whisper,Ascendant,60000,60000,-1
2560,5112,Ascendant,Whisper,60000,60000,1
2561,5654,Whisper,Ascendant,60000,60000,1
2562,5170,Ascendant,Whisper,60000,60000,1
2563,5670,Whisper,Ascendant,60000,60000,-1
2564,5174,Ascendant,Whisper,60000,60000,1
2565,5674,Whisper,Ascendant,60000,60000,1
2566,5195,Ascendant,Whisper,60000,60000,-1
2567,5679,Whisper,Ascendant,60000,60000,-1
2568,5199,Ascendant,Whisper,60000,60000,-1
2569,5695,Whisper,Ascendant,60000,60000,-1
2570,5295,Ascendant,Whisper,60000,60000,1
2571,5699,Whisper,Ascendant,60000,60000,1
2572,5299,Ascendant,Whisper,60000,60000,-1
2573,5704,Whisper,Ascendant,60000,60000,1
2574,5320,Ascendant,Whisper,60000,60000,-1
2575,5720,Whisper,Ascendant,60000,60000,-1
2576,5324,Ascendant,Whisper,60000,60000,1
2577,5724,Whisper,Ascendant,60000,60000,-1
2578,5345,Ascendant,Whisper,60000,60000,1
2579,5730,Whisper,Ascendant,60000,60000,-1
2580,5349,Ascendant,Whisper,60000,60000,-1
2581,5735,Whisper,Ascendant,60000,60000,-1
2582,5420,Ascendant,Whisper,60000,60000,1
2583,5739,Whisper,Ascendant,60000,60000,-1
2584,5424,Ascendant,Whisper,60000,60000,-1
2585,5740,Whisper,Ascendant,60000,60000,-1
2586,5445,Ascendant,Whisper,60000,60000,1
2587,5744,Whisper,Ascendant,60000,60000,-1
2588,5449,Ascendant,Whisper,60000,60000,1
2589,5746,Whisper,Ascendant,60000,60000,-1
2590,5470,Ascendant,Whisper,60000,60000,1
